lv;ns;nt;no;pe;ne;nf;method 1;method 2;method 3v1;method 3v2
3;10;18;16;0.1;2;2;0.043920585;0.03882244;0.032436503;0.035976592
3;10;18;16;0.2;3;2;0.048154608;0.04633056;0.039753327;0.039535531
3;10;18;16;0.3;5;2;0.054880874;0.053845494;0.041096287;0.041067304
3;10;18;16;0.4;6;2;0.056931548;0.058525053;0.048707431;0.046494357
3;10;18;16;0.5;8;2;0.057839966;0.056099477;0.042760493;0.042877247
3;10;18;16;0.6;10;2;0.076636498;0.066786518;0.054841974;0.058751135
3;10;18;16;0.7;11;2;0.058329103;0.053817233;0.042916312;0.046328389
3;10;18;16;0.8;13;2;0.05992513;0.048454273;0.043038434;0.050404173
3;10;18;16;0.9;14;2;0.054540166;0.040081372;0.0381808;0.04575263
3;10;18;16;1;16;2;0.048790548;0.033453704;0.033511205;0.044792985
